Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Connecticut,US,9/20/2020 4:30,41.5978,-72.7554,55527,4492,9204,41831,9,1557.434226,1422148,,8.089758136,84000009,USA,39888.73827,
Delaware,US,9/20/2020 4:30,39.3185,-75.5071,19449,621,10257,8571,10,1997.301194,269711,,3.192966219,84000010,USA,27697.77893,
Florida,US,9/20/2020 4:30,27.7663,-81.6868,681233,13287,,667946,12,3171.809954,5068554,,1.950433992,84000012,USA,23599.10637,
Georgia,US,9/20/2020 4:30,33.0406,-83.6431,305021,6599,,298422,13,2872.834585,2735389,,2.163457598,84000013,USA,25763.21015,
Hawaii,US,9/20/2020 4:30,21.0943,-157.4983,11326,120,4394,6812,15,799.9310672,279740,,1.059509094,84000015,USA,19757.4357,
Idaho,US,9/20/2020 4:30,44.2405,-114.4788,37247,441,19915,16891,16,2084.255469,285137,,1.183987972,84000016,USA,15955.60318,
Illinois,US,9/20/2020 4:30,40.3495,-88.9861,275041,8672,,266369,17,2170.493096,5059340,,3.152984464,84000017,USA,39925.9112,
Indiana,US,9/20/2020 4:30,39.8494,-86.2583,110759,3503,86260,20996,18,1645.207917,1292615,,3.162722668,84000018,USA,19200.43005,
Iowa,US,9/20/2020 4:30,42.0115,-93.2105,79804,1265,57269,21270,19,2529.389205,713775,,1.585133577,84000019,USA,22623.11137,
Kansas,US,9/20/2020 4:30,38.5266,-96.7265,52486,594,1950,49942,20,1801.590903,474749,,1.131730366,84000020,USA,16295.84041,
Kentucky,US,9/20/2020 4:30,37.6681,-84.6701,61106,1108,11237,48761,21,1367.736627,1047995,,1.813242562,84000021,USA,23457.28973,
Louisiana,US,9/20/2020 4:30,31.1695,-91.8678,160283,5342,145570,9371,22,3447.840451,2146986,,3.332855013,84000022,USA,46183.71991,
